med hs dm twosigdown onesigdown exp onesigup twosigup
1500 50 400 .0824000 .1074000 .1465000 .2008000 .2648000
1500 70 50 .0501000 .0659000 .0897000 .1230000 .1634000
1500 70 100 .0552000 .0723000 .0981000 .1345000 .1787000
1500 70 150 .0569000 .0748000 .1018000 .1395000 .1854000
1500 70 200 .0599000 .0788000 .1073000 .1479000 .1960000
1500 70 250 .0665000 .0874000 .1190000 .1631000 .2167000
1500 70 300 .0749000 .0984000 .1340000 .1837000 .2441000
1500 70 400 .0806000 .1060000 .1443000 .1978000 .2627000
1500 90 50 .0285000 .0372000 .0504000 .0686000 .0907000
1500 90 100 .0296000 .0387000 .0526000 .0716000 .0947000
1500 90 150 .0333000 .0434000 .0588000 .0801000 .1059000
1500 90 200 .0306000 .0399000 .0540000 .0736000 .0973000
1500 90 250 .0325000 .0424000 .0573000 .0781000 .1033000
1500 90 300 .0345000 .0451000 .0610000 .0831000 .1099000
1500 90 400 .0394000 .0517000 .0701000 .0956000 .1254000
2000 50 50 .0250000 .0328000 .0445000 .0610000 .0810000
2000 50 100 .0255000 .0335000 .0456000 .0627000 .0832000
2000 50 150 .2707000 .2721000 .2761000 .2860000 .3001000
2000 50 200 .0303000 .0397000 .0538000 .0738000 .0980000
2000 50 250 .0286000 .0397000 .0527000 .0742000 .0988000
2000 50 300 .0318000 .0415000 .0566000 .0776000 .1030000
2000 50 400 .0348000 .0457000 .0623000 .0856000 .1135000
2000 70 50 .0251000 .0329000 .0449000 .0613000 .0816000
2000 70 100 .0251000 .0334000 .0460000 .0634000 .0846000
2000 70 150 .0266000 .0350000 .0476000 .0653000 .0870000
2000 70 200 .2444000 .2452000 .2512000 .2602000 .2730000
2000 70 250 .2515000 .2541000 .2585000 .2678000 .2810000
2000 70 300 .0310000 .0404000 .0551000 .0755000 .1004000
2000 70 400 .0400000 .0526000 .0716000 .0981000 .1304000
2000 90 50 .0148000 .0194000 .0265000 .0358000 .0475000
2000 90 100 .0149000 .0195000 .0265000 .0360000 .0476000
2000 90 150 .0159000 .0209000 .0285000 .0388000 .0513000
2000 90 200 .0170000 .0223000 .0302000 .0411000 .0544000
2000 90 250 .0179000 .0232000 .0316000 .0428000 .0567000
2000 90 300 .0189000 .0248000 .0336000 .0457000 .0604000
2000 90 400 .0234000 .0306000 .0416000 .0563000 .0747000    
2500 50 50 .0235000 .0306000 .0417000 .0572000 .0760000
2500 50 100 .0240000 .0313000 .0423000 .0581000 .0771000
2500 50 150 .0233000 .0303000 .0414000 .0567000 .0754000
2500 50 200 .0240000 .0316000 .0430000 .0590000 .0784000
2500 50 250 .0244000 .0320000 .0434000 .0597000 .0791000
2500 50 300 .0257000 .0338000 .0460000 .0632000 .0838000
2500 50 400 .0302000 .0397000 .0540000 .0743000 .0985000
