med hs dm twosigdown onesigdown exp onesigup twosigup
500 50 50 .9146000 1.1805000 1.5820000 2.1307000 2.7902000
500 50 100 .6124000 .7933000 1.0664000 1.4447000 1.8872000
500 50 150 .4122000 .5460000 .7354000 .9933000 1.2991000
500 50 200 .3506000 .4525000 .6064000 .8168000 1.0696000
495 50 250 .2033000 .2653000 .3589000 .4876000 .6409000
500 70 50 .5770000 .7475000 1.0049000 1.3614000 1.7916000
500 70 100 .4277000 .5587000 .7500000 1.0220000 1.3416000
500 70 150 .3139000 .4131000 .5581000 .7605000 .9983000
500 70 200 .2907000 .3780000 .5098000 .6926000 .9104000
495 70 250 .1631000 .2127000 .2900000 .3976000 .5243000
500 90 50 .2139000 .2781000 .3750000 .5080000 .6686000
500 90 100 .1679000 .2183000 .2944000 .4001000 .5258000
500 90 150 .1178000 .1532000 .2065000 .2815000 .3695000
500 90 200 .1074000 .1396000 .1882000 .2565000 .3367000
495 90 250 .0676000 .0885000 .1201000 .1637000 .2149000
1000 50 50 .1678000 .2150000 .2864000 .3857000 .5051000
1000 50 100 .1622000 .2093000 .2805000 .3778000 .4947000
1000 50 150 .1719000 .2219000 .2974000 .4029000 .5262000
1000 50 200 .1763000 .2292000 .3091000 .4200000 .5479000
1000 50 250 .1717000 .2252000 .3032000 .4144000 .5473000
1000 50 300 .1524000 .1997000 .2710000 .3693000 .4883000
1000 50 400 .1199000 .1563000 .2131000 .2913000 .3847000
1000 70 50 .1753000 .2263000 .3032000 .4108000 .5366000
1000 70 100 .1876000 .2441000 .3267000 .4438000 .5834000
1000 70 150 .1730000 .2288000 .3076000 .4167000 .5444000
1000 70 200 .1701000 .2220000 .3003000 .4068000 .5354000
1000 70 250 .1578000 .2067000 .2805000 .3823000 .5055000
1000 70 300 .1351000 .1778000 .2402000 .3322000 .4395000
1000 70 400 .1038000 .1360000 .1846000 .2530000 .3361000
1000 90 50 .0624000 .0812000 .1095000 .1483000 .1952000
1000 90 100 .0679000 .0883000 .1190000 .1622000 .2129000
1000 90 150 .0691000 .0899000 .1212000 .1647000 .2165000
1000 90 200 .0769000 .0999000 .1348000 .1826000 .2403000
1000 90 250 .0726000 .0947000 .1282000 .1747000 .2293000
1000 90 300 .0595000 .0780000 .1058000 .1442000 .1893000
1000 90 400 .0488000 .0639000 .0868000 .1183000 .1553000
1500 50 50 .0456000 .0600000 .0817000 .1119000 .1487000
1500 50 100 .0450000 .0590000 .0802000 .1099000 .1460000
1500 50 150 .0451000 .0592000 .0791000 .1103000 .1464000
1500 50 200 .0481000 .0632000 .0861000 .1180000 .1567000
1500 50 250 .0577000 .0758000 .1033000 .1416000 .1867000
1500 50 300 .0691000 .0905000 .1238000 .1697000 .2238000
1500 50 400 .0824000 .1074000 .1465000 .2008000 .2648000
1500 70 50 .0501000 .0659000 .0897000 .1230000 .1634000
1500 70 100 .0552000 .0723000 .0981000 .1345000 .1787000
1500 70 150 .0569000 .0748000 .1018000 .1395000 .1854000
1500 70 200 .0599000 .0788000 .1073000 .1479000 .1960000
1500 70 250 .0665000 .0874000 .1190000 .1631000 .2167000
1500 70 300 .0749000 .0984000 .1340000 .1837000 .2441000
1500 70 400 .0806000 .1060000 .1443000 .1978000 .2627000
1500 90 50 .0285000 .0372000 .0504000 .0686000 .0907000
1500 90 100 .0296000 .0387000 .0526000 .0716000 .0947000
1500 90 150 .0333000 .0434000 .0588000 .0801000 .1059000
1500 90 200 .0306000 .0399000 .0540000 .0736000 .0973000
1500 90 250 .0325000 .0424000 .0573000 .0781000 .1033000
1500 90 300 .0345000 .0451000 .0610000 .0831000 .1099000
1500 90 400 .0394000 .0517000 .0701000 .0956000 .1254000
2000 50 50 .0250000 .0328000 .0445000 .0610000 .0810000
2000 50 100 .0255000 .0335000 .0456000 .0627000 .0832000
2000 50 150 .2707000 .2721000 .2761000 .2860000 .3001000
2000 50 200 .0303000 .0397000 .0538000 .0738000 .0980000
2000 50 250 .0286000 .0397000 .0527000 .0742000 .0988000
2000 50 300 .0318000 .0415000 .0566000 .0776000 .1030000
