med hs dm twosigdown onesigdown exp onesigup twosigup
50 150 10 3.9605000 4.7297000 5.6016000 6.6063000 7.6857000
50 50 10 45.1406000 51.9587000 60.1875000 70.5036000 81.4917000
100 150 10 1.5701000 1.9221000 2.2969000 2.7089000 3.1348000
100 50 10 18.5691000 23.5355000 29.3438000 35.5429000 41.7295000
300 150 10 1.2617000 1.5081000 1.8457000 2.3092000 2.8124000
300 50 10 11.1973000 13.0468000 15.7500000 19.4540000 23.3422000
500 150 10 2.3845000 2.7821000 3.3633000 4.1542000 5.0794000
500 50 10 12.1631000 14.2106000 17.2031000 21.2489000 25.9812000
1000 150 10 1.6934000 2.0536000 2.4492000 2.9276000 3.4485000
1000 50 10 4.5027000 5.2555000 6.1641000 7.3189000 8.5462000
1500 150 10 .8063000 .9344000 1.1279000 1.3887000 1.6997000
1500 50 10 1.7191000 1.9820000 2.3789000 2.9194000 3.5767000
2000 150 10 .9206000 1.0697000 1.2949000 1.5891000 1.9469000
2000 50 10 1.8647000 2.1497000 2.5664000 3.1700000 3.8397000
2500 150 10 1.0941000 1.2582000 1.5059000 1.8600000 2.2530000
2500 50 10 2.0131000 2.3331000 2.8008000 3.4595000 4.2299000
3000 150 10 1.1227000 1.3117000 1.5879000 1.9613000 2.3981000
3000 50 10 2.0748000 2.3921000 2.8711000 3.5234000 4.2760000
