proc xmin xmax y yerr
vh 200.0 270.0 0.0152473207563 0.00192453771905
vh 270.0 350.0 0.00710377143696 0.000915705584024
vh 350.0 475.0 0.00237442087382 0.000290955062254
vh 475.0 1000.0 0.000280866632238 3.32462216779e-05
dibosons 200.0 270.0 0.0196721646935 0.00391948410193
dibosons 270.0 350.0 1.37705158387e-09 2.74363891671e-10
dibosons 350.0 475.0 1.37705158387e-09 2.74363891671e-10
dibosons 475.0 1000.0 1.37705158387e-09 2.74363891671e-10
stop 200.0 270.0 0.00840506237 0.00162855703555
stop 270.0 350.0 0.00511485990137 0.000989950543207
stop 350.0 475.0 0.00108733947854 0.000209634155874
stop 475.0 1000.0 8.5920555648e-06 1.65874673833e-06
ttbar 200.0 270.0 0.0208002701402 0.00436238585303
ttbar 270.0 350.0 0.00648423610255 0.00134096983594
ttbar 350.0 475.0 0.00385221838951 0.000719479310534
ttbar 475.0 1000.0 2.45628517526e-09 5.01898155624e-10
zll 200.0 270.0 0.284754395485 0.0365038161177
zll 270.0 350.0 0.093863978982 0.0144510280531
zll 350.0 475.0 0.0270000584424 0.00638365149849
zll 475.0 1000.0 0.00177879014518 0.000433162296975
