proc xmin xmax y yerr
vh 200.0 270.0 0.180186003447 0.0247145810862
vh 270.0 350.0 0.0826825425029 0.0104154924883
vh 350.0 475.0 0.0260357633233 0.00295602316268
vh 475.0 1000.0 0.0025032828562 0.000304712823543
qcd 200.0 270.0 1.41598673054e-06 1.65609455145e-06
qcd 270.0 350.0 9.91190704275e-14 1.15926615353e-13
qcd 350.0 475.0 9.91190704275e-14 1.15926615353e-13
qcd 475.0 1000.0 9.91190704275e-14 1.15926615353e-13
dibosons 200.0 270.0 0.228653848171 0.0452871975465
dibosons 270.0 350.0 0.0955605655909 0.0189444935022
dibosons 350.0 475.0 0.0189181007445 0.00375402851953
dibosons 475.0 1000.0 0.00182343483903 0.000361491189972
stop 200.0 270.0 0.297780960798 0.0567002896409
stop 270.0 350.0 0.0757144987583 0.0144229767793
stop 350.0 475.0 0.0075312089175 0.00143454250774
stop 475.0 1000.0 0.000326080917148 6.2140693702e-05
wjets 200.0 270.0 1.73528766632 0.285911550543
wjets 270.0 350.0 0.561440587044 0.0982360777273
wjets 350.0 475.0 0.0674492567778 0.0148592698377
wjets 475.0 1000.0 0.00549144670367 0.00152675436655
ttbar 200.0 270.0 2.84303355217 0.172438720102
ttbar 270.0 350.0 0.651471138 0.0560293080365
ttbar 350.0 475.0 0.088446162641 0.0170936885324
ttbar 475.0 1000.0 0.00138112611603 0.000619840297307
zvv 200.0 270.0 3.55640602112 0.278270383405
zvv 270.0 350.0 1.21646058559 0.116345726511
zvv 350.0 475.0 0.261031031609 0.028581519612
zvv 475.0 1000.0 0.0213915742934 0.00328746723923
