proc xmin xmax y yerr
vh 200.0 270.0 0.0669584572315 0.00765212951689
vh 270.0 350.0 0.0392832607031 0.00436124860757
vh 350.0 475.0 0.0159492921084 0.00186048178705
vh 475.0 1000.0 0.00196704315022 0.000226187312692
qcd 200.0 270.0 1.11640718892e-09 8.93814708827e-10
qcd 270.0 350.0 1.11640718892e-09 8.93814708827e-10
qcd 350.0 475.0 1.11640718892e-09 8.93814708827e-10
qcd 475.0 1000.0 0.00212648976594 0.00170250464628
dibosons 200.0 270.0 0.039995174855 0.00795029358779
dibosons 270.0 350.0 0.040497418493 0.00805736018349
dibosons 350.0 475.0 0.00439809402451 0.000873012159138
dibosons 475.0 1000.0 0.000919159967452 0.000182451287809
stop 200.0 270.0 0.663601517677 0.12692011947
stop 270.0 350.0 0.342811703682 0.0655327011624
stop 350.0 475.0 0.0744709894061 0.014244584257
stop 475.0 1000.0 0.00514430832118 0.000983656286536
wjets 200.0 270.0 1.7134552002 0.321181815663
wjets 270.0 350.0 0.665171205997 0.143906947164
wjets 350.0 475.0 0.165878847241 0.0571207285188
wjets 475.0 1000.0 0.0153247974813 0.00930805693874
ttbar 200.0 270.0 3.7425699234 0.26925172326
ttbar 270.0 350.0 1.18570697308 0.120687499779
ttbar 350.0 475.0 0.222047358751 0.0487722489131
ttbar 475.0 1000.0 0.0129818050191 0.00961912513383
zll 200.0 270.0 0.0366554632783 0.00540180335269
zll 270.0 350.0 0.00956839788705 0.00158374570958
zll 350.0 475.0 0.00463408464566 0.000909219429229
zll 475.0 1000.0 0.000124524885905 3.16656372056e-05
