proc xmin xmax y yerr
qcd 200.0 270.0 0.0070768436417 0.00526577096427
qcd 270.0 350.0 4.95379071097e-10 3.68604053914e-10
qcd 350.0 475.0 4.95379071097e-10 3.68604053914e-10
qcd 475.0 1000.0 4.95379071097e-10 3.68604053914e-10
zll 200.0 270.0 0.00857403688133 0.00232222552742
zll 270.0 350.0 0.00122024584562 0.000223466405769
zll 350.0 475.0 0.000310155213811 7.25975294946e-05
zll 475.0 1000.0 1.34522715598e-05 2.87484531107e-06
dibosons 200.0 270.0 0.00689093768597 0.00143064065986
dibosons 270.0 350.0 0.00780376652256 0.0016264542352
dibosons 350.0 475.0 1.10666698028e-09 2.30257197733e-10
dibosons 475.0 1000.0 1.10666698028e-09 2.30257197733e-10
stop 200.0 270.0 0.224917054176 0.0426194261895
stop 270.0 350.0 0.0768367275596 0.0145369790689
stop 350.0 475.0 0.0222420953214 0.00420950472596
stop 475.0 1000.0 0.00124028068967 0.000234910340304
wjets 200.0 270.0 0.105359129608 0.168718320911
wjets 270.0 350.0 0.068216226995 0.0617512170888
wjets 350.0 475.0 0.013622074388 0.0174250940377
wjets 475.0 1000.0 0.00134951656219 0.000734955409206
ttbar 200.0 270.0 4.02019119263 0.235193709625
ttbar 270.0 350.0 1.01555371284 0.0962077697158
ttbar 350.0 475.0 0.153674393892 0.0333415612358
ttbar 475.0 1000.0 0.0047066421248 0.00292019936828
