proc xmin xmax y yerr
vh 200.0 270.0 0.113371215761 0.0138038815521
vh 270.0 350.0 0.060229036957 0.00716959368402
vh 350.0 475.0 0.0217174962163 0.00277305371188
vh 475.0 1000.0 0.00261404761113 0.0003225865367
qcd 200.0 270.0 0.0408064126968 0.0322139946678
qcd 270.0 350.0 7.24701010313e-09 5.68756538546e-09
qcd 350.0 475.0 0.0351244881749 0.0274635849785
qcd 475.0 1000.0 7.24701010313e-09 5.68756538546e-09
dibosons 200.0 270.0 0.0742197930813 0.01477728696
dibosons 270.0 350.0 0.0353337749839 0.00702338341564
dibosons 350.0 475.0 0.0154210887849 0.0030747787977
dibosons 475.0 1000.0 0.00271528796293 0.000539274720894
stop 200.0 270.0 1.33118546009 0.252222359102
stop 270.0 350.0 0.525530695915 0.0995788198244
stop 350.0 475.0 0.101812072098 0.019294776841
stop 475.0 1000.0 0.0048391642049 0.000916396642288
wjets 200.0 270.0 3.30039548874 0.558062175363
wjets 270.0 350.0 1.40120792389 0.257264432096
wjets 350.0 475.0 0.263124495745 0.0803414495221
wjets 475.0 1000.0 0.0241807792336 0.0113538117875
ttbar 200.0 270.0 6.39465236664 0.445333144395
ttbar 270.0 350.0 1.90585029125 0.193888258057
ttbar 350.0 475.0 0.285708546638 0.0612034471867
ttbar 475.0 1000.0 0.0130529226735 0.0120374702036
zll 200.0 270.0 0.147889494896 0.0240587045413
zll 270.0 350.0 0.0168057903647 0.00290522835801
zll 350.0 475.0 0.00619840063155 0.00164871745393
zll 475.0 1000.0 0.000683835300151 0.0001208324929
