proc xmin xmax y yerr
qcd 200.0 270.0 1.70881664753 1.3390356642
qcd 270.0 350.0 1.09009683132 0.85278595276
qcd 350.0 475.0 0.205125629902 0.160430100939
qcd 475.0 1000.0 0.0168312657624 0.0131863682971
zll 200.0 270.0 3.78841757774 0.568446151559
zll 270.0 350.0 1.14799678326 0.20552156299
zll 350.0 475.0 0.204090833664 0.0402205712055
zll 475.0 1000.0 0.00812812428921 0.00177340471544
dibosons 200.0 270.0 2.33597183228 0.464469674524
dibosons 270.0 350.0 0.943204343319 0.187555902413
dibosons 350.0 475.0 0.250161498785 0.0497688433746
dibosons 475.0 1000.0 0.0228833965957 0.00456374234112
stop 200.0 270.0 5.72474479675 1.08469518502
stop 270.0 350.0 2.03982949257 0.386518761914
stop 350.0 475.0 0.497129440308 0.0941945882913
stop 475.0 1000.0 0.0251506976783 0.00476732605725
wjets 200.0 270.0 114.174545288 4.62118825189
wjets 270.0 350.0 39.4445724487 1.75844311605
wjets 350.0 475.0 8.83481788635 0.476340460409
wjets 475.0 1000.0 0.464352250099 0.0399269208313
ttbar 200.0 270.0 30.383895874 3.41331209573
ttbar 270.0 350.0 9.48034667969 1.03453828842
ttbar 350.0 475.0 1.52268898487 0.165019956307
ttbar 475.0 1000.0 0.0587097145617 0.00568895337967
