type x y yerrup yerrdown
pre 50.0 1.12750633846 0.035530741411 0.035530741411
post 50.0 0.999892332574 0.0315092826495 0.0315092826495
pre 87.5 1.01913617076 0.0605813587393 0.0605813587393
post 87.5 1.0006218755 0.0594807980928 0.0594807980928
pre 125.0 1.15435946453 0.0586037210461 0.0586037210461
post 125.0 0.999949860876 0.050764761331 0.050764761331
pre 375.0 1.16126870051 0.0489851651287 0.0489851651287
post 375.0 1.00876741606 0.0425522865039 0.0425522865039
unc 25.0 75.0 0.0272324945801 0.0272324945801
unc 75.0 100.0 0.0422480228062 0.0422480228062
unc 100.0 150.0 0.0395074639492 0.0395074639492
unc 150.0 600.0 0.0271411171694 0.0271411171694
