type x y yerrup yerrdown
pre 50.0 0.88418224 0.0839228631983 0.0839228631983
post 50.0 0.965250743114 0.0916175448926 0.0916175448926
pre 87.5 0.981383626645 0.209231693354 0.209231693354
post 87.5 0.968259044143 0.206433522948 0.206433522948
pre 125.0 1.35440689997 0.216878684347 0.216878684347
post 125.0 1.1433913203 0.183089147913 0.183089147913
pre 375.0 0.906087163255 0.174376559769 0.174376559769
post 375.0 0.858521093142 0.165222465103 0.165222465103
unc 25.0 75.0 0.0458105487071 0.0458105487071
unc 75.0 100.0 0.0784092480796 0.0784092480796
unc 100.0 150.0 0.0810103818008 0.0810103818008
unc 150.0 600.0 0.0782253550853 0.0782253550853
