type x y yerrup yerrdown
pre 50.0 1.09914173378 0.028127696448 0.028127696448
post 50.0 0.999910448824 0.0255883083276 0.0255883083276
pre 87.5 0.993661370079 0.0445718058729 0.0445718058729
post 87.5 1.00034503443 0.0448716092053 0.0448716092053
pre 125.0 1.18504704059 0.0452783206132 0.0452783206132
post 125.0 1.0001060292 0.0382120876944 0.0382120876944
pre 375.0 1.09493264049 0.0374678232672 0.0374678232672
post 375.0 1.00013098684 0.0342237774942 0.0342237774942
unc 25.0 75.0 0.020303385357 0.020303385357
unc 75.0 100.0 0.0345038326701 0.0345038326701
unc 100.0 150.0 0.032600269815 0.032600269815
unc 150.0 600.0 0.0253116268761 0.0253116268761
