type x y yerrup yerrdown
pre 50.0 1.10835113412 0.00808713860495 0.00808713860495
post 50.0 1.00197911115 0.00731098990359 0.00731098990359
pre 87.5 0.97305438323 0.0131206626269 0.0131206626269
post 87.5 1.00122149979 0.013500467949 0.013500467949
pre 125.0 1.1295475752 0.0128640389739 0.0128640389739
post 125.0 1.00489707852 0.0114444362209 0.0114444362209
pre 375.0 1.11010410762 0.0111943433627 0.0111943433627
post 375.0 0.999283512368 0.0100768231351 0.0100768231351
unc 25.0 75.0 0.00686645470325 0.00686645470325
unc 75.0 100.0 0.0122425592993 0.0122425592993
unc 100.0 150.0 0.0106887141547 0.0106887141547
unc 150.0 600.0 0.00827415641402 0.00827415641402
