type x y yerrup yerrdown
pre 50.0 0.753776904277 0.0888334565561 0.0888334565561
post 50.0 0.899791931055 0.106041491804 0.106041491804
pre 87.5 0.816008456972 0.125912842439 0.125912842439
post 87.5 0.965104152221 0.1489188084 0.1489188084
pre 125.0 0.706382474234 0.0935626455327 0.0935626455327
post 125.0 0.974358005115 0.129056872133 0.129056872133
pre 375.0 1.03067016262 0.198352569711 0.198352569711
post 375.0 0.965906052134 0.185888710559 0.185888710559
unc 25.0 75.0 0.0811885926328 0.0811885926328
unc 75.0 100.0 0.108862503632 0.108862503632
unc 100.0 150.0 0.0915935261515 0.0915935261515
unc 150.0 600.0 0.141552312113 0.141552312113
