type x y yerrup yerrdown
pre 50.0 0.8336053389 0.0386575211433 0.0386575211433
post 50.0 0.963875417382 0.044698651254 0.044698651254
pre 87.5 0.905527205858 0.04021587372 0.04021587372
post 87.5 0.999724601311 0.04439932678 0.04439932678
pre 125.0 0.986463867266 0.0467628740872 0.0467628740872
post 125.0 0.999990891957 0.0474041165832 0.0474041165832
pre 375.0 0.98317601033 0.0562044309814 0.0562044309814
post 375.0 1.00079363408 0.0572115634866 0.0572115634866
unc 25.0 75.0 0.0347619491742 0.0347619491742
unc 75.0 100.0 0.0532753792929 0.0532753792929
unc 100.0 150.0 0.0479412758006 0.0479412758006
unc 150.0 600.0 0.0585923396178 0.0585923396178
