type x y yerrup yerrdown
pre 50.0 1.13447098289 0.0416477395665 0.0416477395665
post 50.0 1.05102644636 0.0385843942909 0.0385843942909
pre 87.5 0.784450811903 0.0618233842551 0.0618233842551
post 87.5 0.922947895932 0.0727384834737 0.0727384834737
pre 125.0 0.889031809118 0.0572675710529 0.0572675710529
post 125.0 0.965564531459 0.0621974769006 0.0621974769006
pre 375.0 1.01301509103 0.0847125762823 0.0847125762823
post 375.0 0.970184101864 0.0811308690907 0.0811308690907
unc 25.0 75.0 0.0307180252594 0.0307180252594
unc 75.0 100.0 0.0408408263084 0.0408408263084
unc 100.0 150.0 0.0422050024442 0.0422050024442
unc 150.0 600.0 0.0595895521381 0.0595895521381
