type x y yerrup yerrdown
pre 50.0 1.12786655606 0.0122855742726 0.0122855742726
post 50.0 0.999961347584 0.0108923341502 0.0108923341502
pre 87.5 0.931747670955 0.0167644523315 0.0167644523315
post 87.5 1.00001506637 0.0179927521511 0.0179927521511
pre 125.0 1.0883920064 0.0175684256968 0.0175684256968
post 125.0 0.999984196788 0.0161413791685 0.0161413791685
pre 375.0 1.14486539637 0.0167603106201 0.0167603106201
post 375.0 1.00074812876 0.0146504991274 0.0146504991274
unc 25.0 75.0 0.0239659466751 0.0239659466751
unc 75.0 100.0 0.0159759088369 0.0159759088369
unc 100.0 150.0 0.0180953622129 0.0180953622129
unc 150.0 600.0 0.014313015592 0.014313015592
