type x y yerrup yerrdown
pre 50.0 0.948398442711 0.0835018293135 0.0835018293135
post 50.0 1.05789373711 0.0931423527182 0.0931423527182
pre 87.5 0.863284804656 0.101039841254 0.101039841254
post 87.5 1.00628202821 0.117776399908 0.117776399908
pre 125.0 0.784916188049 0.0777182849572 0.0777182849572
post 125.0 1.04917790764 0.103884094682 0.103884094682
pre 375.0 1.04852578605 0.149789400786 0.149789400786
post 375.0 0.987077466178 0.141011069213 0.141011069213
unc 25.0 75.0 0.0773942012945 0.0773942012945
unc 75.0 100.0 0.0926150204894 0.0926150204894
unc 100.0 150.0 0.0835961247556 0.0835961247556
unc 150.0 600.0 0.12040549377 0.12040549377
