type x y yerrup yerrdown
pre 50.0 0.965972906544 0.0276104983093 0.0276104983093
post 50.0 0.968852920482 0.0276928180301 0.0276928180301
pre 87.5 0.865717982079 0.0492489766664 0.0492489766664
post 87.5 1.02380364998 0.0582421563521 0.0582421563521
pre 125.0 0.981286515411 0.0466750389192 0.0466750389192
post 125.0 1.03566615826 0.0492616147119 0.0492616147119
pre 375.0 1.07256544273 0.0662633142244 0.0662633142244
post 375.0 0.998855537127 0.0617095010568 0.0617095010568
unc 25.0 75.0 0.0332271243216 0.0332271243216
unc 75.0 100.0 0.0524063690571 0.0524063690571
unc 100.0 150.0 0.0394181595416 0.0394181595416
unc 150.0 600.0 0.0533250907509 0.0533250907509
