type x y yerrup yerrdown
pre 50.0 1.06107214415 0.00874592509521 0.00874592509521
post 50.0 0.999966723906 0.00824226148354 0.00824226148354
pre 87.5 0.989026849026 0.0132555418485 0.0132555418485
post 87.5 0.999979169322 0.0134023315339 0.0134023315339
pre 125.0 1.06736339993 0.0130253465931 0.0130253465931
post 125.0 0.999990797092 0.0122031790886 0.0122031790886
pre 375.0 1.08791782658 0.0122485625322 0.0122485625322
post 375.0 0.999971930921 0.0112584042904 0.0112584042904
unc 25.0 75.0 0.0693454474452 0.0693454474452
unc 75.0 100.0 0.015489446665 0.015489446665
unc 100.0 150.0 0.020110007153 0.020110007153
unc 150.0 600.0 0.0159038320537 0.0159038320537
