proc xmin xmax y yerr
vh 200.0 270.0 1.08891114593 0.150971344027
vh 270.0 350.0 0.579979121685 0.0818220007189
vh 350.0 475.0 0.30337748467 0.0417937857608
vh 475.0 1000.0 0.151523426757 0.0212280716151
dibosons 200.0 270.0 1.37803385034 0.273906172001
dibosons 270.0 350.0 1.10242712736e-07 2.19124943352e-08
dibosons 350.0 475.0 1.72254238651e-07 3.42382723988e-08
dibosons 475.0 1000.0 7.23467802333e-07 1.43800744075e-07
stop 200.0 270.0 0.611954797059 0.130105073138
stop 270.0 350.0 0.425545796752 0.0903724167733
stop 350.0 475.0 0.141273936606 0.0298879525707
stop 475.0 1000.0 0.00468970019938 0.000993462117273
ttbar 200.0 270.0 1.50222988799 0.373691605548
ttbar 270.0 350.0 0.536094382405 0.132721940188
ttbar 350.0 475.0 0.499874004163 0.112879839651
ttbar 475.0 1000.0 1.33255411705e-06 3.24556812538e-07
zll 200.0 270.0 16.9472983479 2.38040842663
zll 270.0 350.0 6.33097648621 1.17956800045
zll 350.0 475.0 2.84132664092 0.655984058797
zll 475.0 1000.0 0.656886163051 0.126979019462
data 200.0 270.0 0.371428579092 0.0728431359085
data 270.0 350.0 0.11249999702 0.0375
data 350.0 475.0 0.0399999991059 0.01788854382
data 475.0 1000.0 0.00380952376872 0.00269374011881
