proc xmin xmax y yerr
dibosons 200.0 270.0 16.4869479835 3.28808371689
dibosons 270.0 350.0 6.10089302063 1.21624375901
dibosons 350.0 475.0 4.47282101959 0.892396551566
dibosons 475.0 1000.0 0.97717368335 0.194794297948
stop 200.0 270.0 2.60946262628 0.549981692637
stop 270.0 350.0 0.575528293848 0.121799699281
stop 350.0 475.0 0.428765080869 0.0907024464988
stop 475.0 1000.0 0.0148228512899 0.0031396980115
ttbar 200.0 270.0 15.1503790915 2.42078405851
ttbar 270.0 350.0 4.40655916929 1.01451308198
ttbar 350.0 475.0 1.20625365525 0.247705563055
ttbar 475.0 1000.0 0.369483817485 0.155134122655
zll 200.0 270.0 794.372653961 80.226464644
zll 270.0 350.0 328.773002625 35.1858087543
zll 350.0 475.0 111.78933084 12.894165391
zll 475.0 1000.0 25.7680987939 3.30714906701
data 200.0 270.0 12.3000001907 0.419182878603
data 270.0 350.0 4.34999990463 0.233184476327
data 350.0 475.0 1.08800005913 0.0932952303175
data 475.0 1000.0 0.0533333346248 0.0100790526136
