proc xmin xmax y yerr
vh 200.0 270.0 12.9028184712 1.91892901698
vh 270.0 350.0 6.76814496517 0.94679726889
vh 350.0 475.0 3.33429337479 0.436108143037
vh 475.0 1000.0 1.35339319822 0.195955763305
qcd 200.0 270.0 9.99999269879e-05 0.000105632173244
qcd 270.0 350.0 7.9999944386e-12 8.45057440272e-12
qcd 350.0 475.0 1.24999913103e-11 1.32040225042e-11
qcd 475.0 1000.0 5.24999635033e-11 5.54568945178e-11
dibosons 200.0 270.0 16.0422229767 3.16056839197
dibosons 270.0 350.0 7.6631206274 1.5100517446
dibosons 350.0 475.0 2.37066857517 0.467283112342
dibosons 475.0 1000.0 0.959592589061 0.189092299822
stop 200.0 270.0 21.7005029321 4.59121856877
stop 270.0 350.0 6.3057744503 1.3344138754
stop 350.0 475.0 0.980179291219 0.207484631111
stop 475.0 1000.0 0.178256214713 0.0377493779124
wjets 200.0 270.0 93.8855683804 6.65091797114
wjets 270.0 350.0 34.7363567352 2.46074750863
wjets 350.0 475.0 6.5488438122 0.463924729863
wjets 475.0 1000.0 2.35574977705 0.166882963117
ttbar 200.0 270.0 206.139147282 11.5733375793
ttbar 270.0 350.0 59.6899938583 3.35119385015
ttbar 350.0 475.0 12.8848413005 0.723397518735
ttbar 475.0 1000.0 1.13048554631 0.0634691971021
zvv 200.0 270.0 215.832726955 16.762711214
zvv 270.0 350.0 82.1621227264 6.38114423674
zvv 350.0 475.0 28.1757321209 2.18827620746
zvv 475.0 1000.0 8.09530201368 0.628723961993
data 200.0 270.0 8.84285736084 0.355424437275
data 270.0 350.0 2.67499995232 0.182859235479
data 350.0 475.0 0.472000002861 0.0614491659829
data 475.0 1000.0 0.0399999991059 0.00872871560944
