proc xmin xmax y yerr
vh 200.0 270.0 0.121525236173 0.0165360958541
vh 270.0 350.0 0.105996904895 0.0149618340297
vh 350.0 475.0 0.062135150074 0.00918423009698
vh 475.0 1000.0 0.0180851137884 0.00270623321895
tth 200.0 270.0 0.20812302595 0.0312408942094
tth 270.0 350.0 0.096926568076 0.0145169871964
tth 350.0 475.0 0.0248721353273 0.00371736786759
tth 475.0 1000.0 0.00597187320182 0.000894706239155
qcd 200.0 270.0 9.99999269879e-05 0.00012431825135
qcd 270.0 350.0 7.9999944386e-12 9.94545946395e-12
qcd 350.0 475.0 1.24999913103e-11 1.55397804124e-11
qcd 475.0 1000.0 5.24999635033e-11 6.52670777322e-11
zll 200.0 270.0 0.0534698134288 0.0116598056461
zll 270.0 350.0 0.283264722675 0.0568116622877
zll 350.0 475.0 0.0216841344809 0.0114908256017
zll 475.0 1000.0 0.0278691003587 0.00770982151181
dibosons 200.0 270.0 2.97138433303e-08 5.92827270871e-09
dibosons 270.0 350.0 3.39586780918e-08 6.77516880996e-09
dibosons 350.0 475.0 0.424483499955 0.0846896252798
dibosons 475.0 1000.0 2.22853824977e-07 4.44620453153e-08
stop 200.0 270.0 9.65296626091 2.04328826244
stop 270.0 350.0 5.01289963722 1.0623504309
stop 350.0 475.0 1.45681540016 0.308791850262
stop 475.0 1000.0 0.000765583479279 0.000162234469412
wjets 200.0 270.0 2.34177928418 1.13378475494
wjets 270.0 350.0 2.40369468927 2.18555985652
wjets 350.0 475.0 1.32751930505 0.873399493807
wjets 475.0 1000.0 1.18236938724 0.791723283322
ttbar 200.0 270.0 158.603579998 12.3079602446
ttbar 270.0 350.0 56.8906593323 5.85888865169
ttbar 350.0 475.0 15.3861213475 2.70965677565
ttbar 475.0 1000.0 2.68116864609 1.93647693937
data 200.0 270.0 2.51428580284 0.189521416592
data 270.0 350.0 0.625 0.0883883476483
data 350.0 475.0 0.119999997318 0.0309838667697
data 475.0 1000.0 0.00952380988747 0.0042591771
