proc xmin xmax y yerr
qcd 200.0 270.0 5.59614099562 7.12589188063
qcd 270.0 350.0 18.930696249 24.1153589463
qcd 350.0 475.0 9.48042050004 12.0775203726
qcd 475.0 1000.0 0.35151422635 0.438966877433
zll 200.0 270.0 3.82673405111 0.668299208429
zll 270.0 350.0 2.64214783907 0.463143999634
zll 350.0 475.0 0.504885683767 0.105909257726
zll 475.0 1000.0 0.206893838185 0.0472105783061
dibosons 200.0 270.0 3.60259804875 0.731701222332
dibosons 270.0 350.0 1.87346771359 0.384974466567
dibosons 350.0 475.0 2.84795463085 0.57074490969
dibosons 475.0 1000.0 1.36920761433 0.271626326229
stop 200.0 270.0 51.4870178699 10.8891007548
stop 270.0 350.0 23.0941867828 4.88329138277
stop 350.0 475.0 9.90873202682 2.09530177811
stop 475.0 1000.0 2.61725652963 0.554964040655
wjets 200.0 270.0 168.662889004 20.9589275203
wjets 270.0 350.0 86.3245582581 13.7419376665
wjets 350.0 475.0 36.2594984472 12.883531902
wjets 475.0 1000.0 10.2188430727 4.02857626189
ttbar 200.0 270.0 861.296014786 58.6961315823
ttbar 270.0 350.0 263.230209351 23.9078622312
ttbar 350.0 475.0 65.2954354882 9.50114008531
ttbar 475.0 1000.0 12.0497000869 6.88296925413
data 200.0 270.0 15.2428569794 0.466642370602
data 270.0 350.0 4.83750009537 0.245903944661
data 350.0 475.0 0.959999978542 0.0876356092008
data 475.0 1000.0 0.0304761901498 0.00761904761905
