proc xmin xmax y yerr
qcd 200.0 270.0 28.4337720275 35.308978393
qcd 270.0 350.0 75.6908512115 93.9558261399
qcd 350.0 475.0 28.038199991 34.8103086083
qcd 475.0 1000.0 9.9683735054 12.3671219073
zll 200.0 270.0 69.8977071047 10.6544144244
zll 270.0 350.0 26.4366769791 4.5232614539
zll 350.0 475.0 8.92718974501 1.85275828817
zll 475.0 1000.0 2.28367302334 0.534541387794
dibosons 200.0 270.0 86.5084135532 17.1319477439
dibosons 270.0 350.0 43.6253595352 8.63745986333
dibosons 350.0 475.0 20.7917522639 4.11747007581
dibosons 475.0 1000.0 4.28952982184 0.849473118646
stop 200.0 270.0 224.071683884 47.456724551
stop 270.0 350.0 105.270910263 22.2963131444
stop 350.0 475.0 37.2749567032 7.89495113489
stop 475.0 1000.0 10.2148024365 2.16326970558
wjets 200.0 270.0 3814.35512543 461.558404899
wjets 270.0 350.0 1690.98266602 272.927073593
wjets 350.0 475.0 647.233784199 182.269831485
wjets 475.0 1000.0 166.453633457 53.744207766
ttbar 200.0 270.0 1309.12355423 174.297693542
ttbar 270.0 350.0 515.367469788 67.4313308114
ttbar 350.0 475.0 136.410474777 17.9706976706
ttbar 475.0 1000.0 22.6572744548 2.55289414746
data 200.0 270.0 82.3000030518 1.08430359481
data 270.0 350.0 31.7374992371 0.629856134367
data 350.0 475.0 7.48000001907 0.244622157623
data 475.0 1000.0 0.39809525013 0.0275368234187
