proc xmin xmax y yerr
vh 200.0 270.0 8.1183308363 1.19310187154
vh 270.0 350.0 4.9315237999 0.715841836853
vh 350.0 475.0 2.77936668135 0.423397307699
vh 475.0 1000.0 1.41240914818 0.217310312694
qcd 200.0 270.0 3.47215916961 4.36224145205
qcd 270.0 350.0 7.04368829929e-07 8.87129392349e-07
qcd 350.0 475.0 5.33245084807 6.7273780819
qcd 475.0 1000.0 4.62242044641e-06 5.82178663729e-06
dibosons 200.0 270.0 5.21405667067 1.0316339775
dibosons 270.0 350.0 2.83630073071 0.560907068729
dibosons 350.0 475.0 1.93485908676 0.383052380028
dibosons 475.0 1000.0 1.43020733376 0.282800288705
stop 200.0 270.0 97.1139717102 20.4712269689
stop 270.0 350.0 43.8161706924 9.23660752214
stop 350.0 475.0 13.2637359202 2.79645504642
stop 475.0 1000.0 2.64778108103 0.558013481816
wjets 200.0 270.0 182.366156578 21.6322839851
wjets 270.0 350.0 86.5714740753 12.6216329485
wjets 350.0 475.0 29.1395802051 8.58500127443
wjets 475.0 1000.0 9.18684094213 3.55594423091
ttbar 200.0 270.0 467.368307114 33.0438697404
ttbar 270.0 350.0 174.669036865 15.6646265095
ttbar 350.0 475.0 43.5527563095 7.0007337522
ttbar 475.0 1000.0 9.31367701851 5.5632621001
zll 200.0 270.0 10.7946166396 1.88287872182
zll 270.0 350.0 1.39600098133 0.250335855192
zll 350.0 475.0 0.851232616697 0.270374523365
zll 475.0 1000.0 0.371102895588 0.0672675231516
data 200.0 270.0 11.2714281082 0.401273483005
data 270.0 350.0 3.95000004768 0.222204860433
data 350.0 475.0 0.680000007153 0.0737563556583
data 475.0 1000.0 0.0514285713434 0.00989743318611
