proc xmin xmax y yerr
qcd 200.0 270.0 145.305578709 183.135054985
qcd 270.0 350.0 105.920085907 133.597459744
qcd 350.0 475.0 31.1436448246 39.2837761193
qcd 475.0 1000.0 10.7342852745 13.529637794
zll 200.0 270.0 274.126367569 43.3668189785
zll 270.0 350.0 95.3703403473 17.7603016362
zll 350.0 475.0 26.5067853034 5.36409963044
zll 475.0 1000.0 4.45276095998 0.993746016015
dibosons 200.0 270.0 164.084730148 32.450764849
dibosons 270.0 350.0 75.7161188126 14.9750198899
dibosons 350.0 475.0 31.3764624298 6.20708746612
dibosons 475.0 1000.0 12.0575505774 2.3873554239
stop 200.0 270.0 417.628483772 88.0309810722
stop 270.0 350.0 170.066871643 35.8491611271
stop 350.0 475.0 64.7636502981 13.6526026449
stop 475.0 1000.0 13.7624819297 2.90243097583
wjets 200.0 270.0 7634.2489624 919.477004029
wjets 270.0 350.0 3012.98309326 443.744119679
wjets 350.0 475.0 1066.09416008 297.855404688
wjets 475.0 1000.0 243.280903995 70.9134628516
ttbar 200.0 270.0 2184.15893555 294.765706169
ttbar 270.0 350.0 779.538955688 102.418870332
ttbar 350.0 475.0 195.911690593 25.590168261
ttbar 475.0 1000.0 31.7378159612 3.68947517529
data 200.0 270.0 158.085708618 1.5027865274
data 270.0 350.0 54.1375007629 0.822629169189
data 350.0 475.0 11.5120000839 0.303473227814
data 475.0 1000.0 0.596190452576 0.0336986781199
