type x y yerrup yerrdown
pre 235.0 1.03907774744 0.0354116743503 0.0354116743503
post 235.0 1.00982263587 0.0344146628308 0.0344146628308
pre 310.0 1.02396308233 0.0548901839922 0.0548901839922
post 310.0 0.987985869781 0.0529616029228 0.0529616029228
pre 412.5 1.1535477054 0.0989158943096 0.0989158943096
post 412.5 1.08239826699 0.0928148806305 0.0928148806305
pre 737.5 1.03208382478 0.195045504744 0.195045504744
post 737.5 0.866060149756 0.163669980085 0.163669980085
unc 200.0 270.0 0.0313295745191 0.0313295745191
unc 270.0 350.0 0.0525460920192 0.0525460920192
unc 350.0 475.0 0.0691718660734 0.0691718660734
unc 475.0 1000.0 0.14706923637 0.14706923637
