type x y yerrup yerrdown
pre 235.0 1.097387696 0.0515029552997 0.0515029552997
post 235.0 1.03552139531 0.0485994260085 0.0485994260085
pre 310.0 0.955325823472 0.0714044060692 0.0714044060692
post 310.0 0.980053382714 0.0732526306621 0.0732526306621
pre 412.5 0.96817252595 0.124990538436 0.124990538436
post 412.5 0.984860503247 0.127144947089 0.127144947089
pre 737.5 0.974262753072 0.212601567263 0.212601567263
post 737.5 1.03658819847 0.22620209477 0.22620209477
unc 200.0 270.0 0.0349440523245 0.0349440523245
unc 270.0 350.0 0.0537723169392 0.0537723169392
unc 350.0 475.0 0.10812943299 0.10812943299
unc 475.0 1000.0 0.26813253181 0.26813253181
