type x y yerrup yerrdown
pre 235.0 0.932595280184 0.0536648274858 0.0536648274858
post 235.0 0.9848466179 0.0566715540735 0.0566715540735
pre 310.0 0.891436565047 0.0914594617996 0.0914594617996
post 310.0 1.01183745994 0.103812332973 0.103812332973
pre 412.5 0.91071497152 0.18214299159 0.18214299159
post 412.5 1.04619102702 0.209238202286 0.209238202286
pre 737.5 0.527665225743 0.304647663387 0.304647663387
post 737.5 0.766533203206 0.442558155953 0.442558155953
unc 200.0 270.0 0.0444504571279 0.0444504571279
unc 270.0 350.0 0.0706509283926 0.0706509283926
unc 350.0 475.0 0.158187888402 0.158187888402
unc 475.0 1000.0 0.394673363732 0.394673363732
