type x y yerrup yerrdown
pre 235.0 0.971217014471 0.0226170428127 0.0226170428127
post 235.0 0.997053578609 0.0232187071869 0.0232187071869
pre 310.0 0.932007370247 0.0391406299774 0.0391406299774
post 310.0 1.00259891443 0.0421051961371 0.0421051961371
pre 412.5 1.04831506994 0.0777062845014 0.0777062845014
post 412.5 1.02980137699 0.076333958249 0.076333958249
pre 737.5 0.888111098958 0.154600296555 0.154600296555
post 737.5 1.01592305107 0.176849501325 0.176849501325
unc 200.0 270.0 0.0194745349583 0.0194745349583
unc 270.0 350.0 0.0384313809712 0.0384313809712
unc 350.0 475.0 0.0777968914776 0.0777968914776
unc 475.0 1000.0 0.201586085116 0.201586085116
