type x y yerrup yerrdown
pre 235.0 1.01879060009 0.0362699072935 0.0362699072935
post 235.0 0.988503237051 0.0351916485724 0.0351916485724
pre 310.0 1.00566315643 0.0565729718025 0.0565729718025
post 310.0 1.00127822745 0.0563263002781 0.0563263002781
pre 412.5 0.877609730573 0.0951901393184 0.0951901393184
post 412.5 0.932648260817 0.101159906037 0.101159906037
pre 737.5 1.10828239114 0.213289045974 0.213289045974
post 737.5 1.06951139367 0.20582756402 0.20582756402
unc 200.0 270.0 0.0314428118508 0.0314428118508
unc 270.0 350.0 0.0496984597986 0.0496984597986
unc 350.0 475.0 0.10250827276 0.10250827276
unc 475.0 1000.0 0.230299462395 0.230299462395
