type x y yerrup yerrdown
pre 235.0 1.02277785593 0.00972268015783 0.00972268015783
post 235.0 0.999805931415 0.00950430558765 0.00950430558765
pre 310.0 1.02155977561 0.0155227865646 0.0155227865646
post 310.0 0.999842187518 0.0151927838642 0.0151927838642
pre 412.5 1.01638908772 0.0267935089399 0.0267935089399
post 412.5 0.999825068815 0.026356857077 0.026356857077
pre 737.5 0.990425394869 0.0559821554325 0.0559821554325
post 737.5 1.00022639656 0.0565361408239 0.0565361408239
unc 200.0 270.0 0.0123190343569 0.0123190343569
unc 270.0 350.0 0.0193086282181 0.0193086282181
unc 350.0 475.0 0.0323050114931 0.0323050114931
unc 475.0 1000.0 0.062267343732 0.062267343732
