proc xmin xmax y yerr
dibosons 200.0 270.0 0.186398327351 0.0371896357684
dibosons 270.0 350.0 0.0580294653773 0.0115649715405
dibosons 350.0 475.0 0.00952223036438 0.00190026325265
dibosons 475.0 1000.0 0.0017981758574 0.000358137174981
stop 200.0 270.0 0.0218693614006 0.00421923273137
stop 270.0 350.0 0.00787535309792 0.00151867841289
stop 350.0 475.0 0.000454477907624 8.77981653671e-05
stop 475.0 1000.0 0.00037468370283 7.22500036728e-05
ttbar 200.0 270.0 0.139581859112 0.0229710973786
ttbar 270.0 350.0 0.0533726848662 0.00785340715678
ttbar 350.0 475.0 0.00950198620558 0.00121800756861
ttbar 475.0 1000.0 0.00028178395587 7.53218893974e-05
zll 200.0 270.0 7.62394094467 0.274200430147
zll 270.0 350.0 2.76288771629 0.1425265786
zll 350.0 475.0 0.659687757492 0.0552405188568
zll 475.0 1000.0 0.0439422018826 0.00714462748077
