proc xmin xmax y yerr
vh 200.0 270.0 0.0211104992777 0.00301217452963
vh 270.0 350.0 0.0106974523515 0.00150517672629
vh 350.0 475.0 0.0036172028631 0.000428182329702
vh 475.0 1000.0 0.000370282679796 4.51878359616e-05
dibosons 200.0 270.0 0.00454696454108 0.000908510498362
dibosons 270.0 350.0 0.00367430434562 0.000734147829713
dibosons 350.0 475.0 6.12231876307e-10 1.22327595256e-10
dibosons 475.0 1000.0 6.12231876307e-10 1.22327595256e-10
stop 200.0 270.0 0.00958904903382 0.00181132399034
stop 270.0 350.0 0.0131440926343 0.00248971201991
stop 350.0 475.0 7.5977841334e-05 1.43423935809e-05
stop 475.0 1000.0 2.71370049632e-06 5.17542851181e-07
ttbar 200.0 270.0 0.0431345030665 0.00772760669462
ttbar 270.0 350.0 0.00844778306782 0.00205319466952
ttbar 350.0 475.0 0.00143374246545 0.000528060810656
ttbar 475.0 1000.0 3.87445586725e-09 7.68913177915e-10
zll 200.0 270.0 0.451611220837 0.0487505334434
zll 270.0 350.0 0.162103012204 0.0238274144239
zll 350.0 475.0 0.0358285494149 0.00758424721763
zll 475.0 1000.0 0.00285938451998 0.00059524466948
