proc xmin xmax y yerr
qcd 200.0 270.0 0.238960176706 0.178232394854
qcd 270.0 350.0 0.0527759492397 0.0410938552304
qcd 350.0 475.0 2.30564740633e-08 1.73649608623e-08
qcd 475.0 1000.0 0.00401368737221 0.00312316689893
zll 200.0 270.0 0.230870619416 0.0293434941989
zll 270.0 350.0 0.0543871819973 0.00752833488889
zll 350.0 475.0 0.00833219382912 0.00115318203698
zll 475.0 1000.0 0.000402891251724 5.46052175038e-05
dibosons 200.0 270.0 0.164522528648 0.0329526281939
dibosons 270.0 350.0 0.0660766735673 0.0133920451894
dibosons 350.0 475.0 0.0227809194475 0.00463104574841
dibosons 475.0 1000.0 0.00118025427219 0.000246282454696
stop 200.0 270.0 1.2976256609 0.245447595414
stop 270.0 350.0 0.490328341722 0.0927578979327
stop 350.0 475.0 0.0865672081709 0.0163763898504
stop 475.0 1000.0 0.00767810363322 0.0014522724837
wjets 200.0 270.0 4.49781370163 0.585171276353
wjets 270.0 350.0 1.98724472523 0.336627000669
wjets 350.0 475.0 0.55514729023 0.166978216646
wjets 475.0 1000.0 0.0311067700386 0.0125999759047
ttbar 200.0 270.0 19.9909114838 0.620661639681
ttbar 270.0 350.0 4.41831541061 0.335628122212
ttbar 350.0 475.0 0.74103718996 0.162695561623
ttbar 475.0 1000.0 0.0174902454019 0.00971409026745
