proc xmin xmax y yerr rel
qcd 250.0 270.0 0.71570828557 0.241786863832 0.337828789615
qcd 270.0 350.0 24.9529981613 8.40154829742 0.336694943153
qcd 350.0 475.0 3.14381881617 1.06442662658 0.338577599034
qcd 475.0 1000.0 0.328303274 0.11053808375 0.336695039324
zll 250.0 270.0 7.64275968075 0.170057209974 0.0222507598141
zll 270.0 350.0 9.62007761002 0.214865770078 0.0223351389447
zll 350.0 475.0 2.59987078607 0.0582108274409 0.0223898925103
zll 475.0 1000.0 0.621649838286 0.0138883097407 0.0223410493905
dibosons 250.0 270.0 3.98063123226 0.275796901702 0.0692847153151
dibosons 270.0 350.0 12.9521369934 0.898058770007 0.0693367257051
dibosons 350.0 475.0 9.31654777378 0.646120507749 0.0693519234204
dibosons 475.0 1000.0 6.26269311178 0.43413496101 0.0693208102746
stop 250.0 270.0 8.45266580582 1.05090541177 0.124328281268
stop 270.0 350.0 17.6605916023 2.20076132519 0.124614247062
stop 350.0 475.0 7.38363387063 0.918632209548 0.124414648078
stop 475.0 1000.0 1.46750278655 0.183614853228 0.125120616405
wjets 250.0 270.0 191.4585495 12.4166674177 0.0648530318971
wjets 270.0 350.0 426.248550415 20.7829049505 0.0487577140856
wjets 350.0 475.0 193.196952343 12.8438077737 0.066480385006
wjets 475.0 1000.0 95.6995915622 9.76517242456 0.10203985477
ttbar 250.0 270.0 38.501124382 6.02140296784 0.156395509599
ttbar 270.0 350.0 55.2761793137 6.48248101576 0.117274404567
ttbar 350.0 475.0 25.8788373321 6.6283793299 0.256131264509
ttbar 475.0 1000.0 3.32347088261 8.87544355918 2.67053447215
