proc xmin xmax y yerr
vh 200.0 270.0 1.51474229991 0.235037671247
vh 270.0 350.0 0.876662880182 0.133916320978
vh 350.0 475.0 0.463848788058 0.0631111790219
vh 475.0 1000.0 0.200090330327 0.0286090677089
dibosons 200.0 270.0 0.319683584385 0.0637364065001
dibosons 270.0 350.0 0.295233633369 0.058861739521
dibosons 350.0 475.0 7.68646604699e-08 1.53247653918e-08
dibosons 475.0 1000.0 3.22831573973e-07 6.43640146455e-08
stop 200.0 270.0 0.700262384489 0.147485336478
stop 270.0 350.0 1.09671592712 0.231305253026
stop 350.0 475.0 0.00990922399069 0.00208815929849
stop 475.0 1000.0 0.00148798013697 0.000316464985198
ttbar 200.0 270.0 3.12360208482 0.673950886255
ttbar 270.0 350.0 0.701719075441 0.202052826316
ttbar 350.0 475.0 0.188083446119 0.0813689323402
ttbar 475.0 1000.0 2.10703747783e-06 5.0123004419e-07
zll 200.0 270.0 28.4982573986 4.16165434678
zll 270.0 350.0 10.9451842308 2.02411195568
zll 350.0 475.0 3.96793428808 0.673684582374
zll 475.0 1000.0 1.09694701969 0.179806884493
data 200.0 270.0 0.471428573132 0.0820651806648
data 270.0 350.0 0.20000000298 0.05
data 350.0 475.0 0.0320000015199 0.016
data 475.0 1000.0 0.00190476188436 0.00190476190476
