proc xmin xmax y yerr
vh 200.0 270.0 0.289900745265 0.0448087210692
vh 270.0 350.0 0.171739943326 0.0277276539298
vh 350.0 475.0 0.0874546676641 0.0134261397344
vh 475.0 1000.0 0.0644084408123 0.0101895363524
tth 200.0 270.0 0.253469403833 0.0381282356022
tth 270.0 350.0 0.150882415473 0.0227488703026
tth 350.0 475.0 0.0800519846962 0.012057829597
tth 475.0 1000.0 0.0127959267502 0.00202516820927
qcd 200.0 270.0 0.598313901573 0.783458643659
qcd 270.0 350.0 4.7865111874e-08 6.26766817737e-08
qcd 350.0 475.0 7.47892373032e-08 9.79323152714e-08
qcd 475.0 1000.0 3.14114796673e-07 4.1131572414e-07
zll 200.0 270.0 0.654196981341 0.205414930575
zll 270.0 350.0 0.100389476866 0.0188501033405
zll 350.0 475.0 0.0406544204452 0.00987341810159
zll 475.0 1000.0 0.00719396955446 0.00156463160642
dibosons 200.0 270.0 0.48136995174 0.105966694453
dibosons 270.0 350.0 0.622904933989 0.138015226634
dibosons 350.0 475.0 1.38034361719e-07 3.04971166823e-08
dibosons 475.0 1000.0 5.79744319218e-07 1.28087890066e-07
stop 200.0 270.0 16.3910585642 3.4585641749
stop 270.0 350.0 6.40331089497 1.34985773255
stop 350.0 475.0 2.89585487917 0.610611174922
stop 475.0 1000.0 0.678873990546 0.143400759158
wjets 200.0 270.0 11.3584437966 14.3795005553
wjets 270.0 350.0 6.43218398094 5.51141629109
wjets 350.0 475.0 2.42847949266 2.35605177911
wjets 475.0 1000.0 0.452819248312 0.294871411457
ttbar 200.0 270.0 293.800749779 21.0239410624
ttbar 270.0 350.0 92.6881408691 9.17974609356
ttbar 350.0 475.0 21.918464452 3.78814120743
ttbar 475.0 1000.0 4.46933030616 3.34141934869
data 200.0 270.0 4.31428575516 0.248259245671
data 270.0 350.0 1.1875 0.12183492931
data 350.0 475.0 0.20000000298 0.04
data 475.0 1000.0 0.00571428565308 0.00329914439537
