proc xmin xmax y yerr
qcd 200.0 270.0 20.2097937465 26.3905251717
qcd 270.0 350.0 5.1300740242 6.47612898127
qcd 350.0 475.0 3.48755779811e-06 4.50611750706e-06
qcd 475.0 1000.0 2.56059423555 3.2334214002
zll 200.0 270.0 16.7782576382 2.65192872173
zll 270.0 350.0 4.47622060776 0.691872412652
zll 350.0 475.0 1.07061688323 0.157576089533
zll 475.0 1000.0 0.218548010162 0.0329951947024
dibosons 200.0 270.0 11.5172570944 2.37836668319
dibosons 270.0 350.0 5.28238296509 1.11595080024
dibosons 350.0 475.0 2.84507405013 0.604265325954
dibosons 475.0 1000.0 0.618214698625 0.137158053388
stop 200.0 270.0 94.6361029148 19.9477376692
stop 270.0 350.0 40.863904953 8.6137834675
stop 350.0 475.0 11.2758614123 2.37761619291
stop 475.0 1000.0 4.19974057004 0.885190350919
wjets 200.0 270.0 298.626761436 35.0583865495
wjets 270.0 350.0 148.956928253 24.0525598381
wjets 350.0 475.0 55.7076074183 16.843359411
wjets 475.0 1000.0 15.7665161882 5.98002447896
ttbar 200.0 270.0 1456.8806076 108.284809462
ttbar 270.0 350.0 403.654785156 33.5534260167
ttbar 350.0 475.0 102.712757885 14.7243706061
ttbar 475.0 1000.0 13.793899538 8.88269192905
data 200.0 270.0 26.3428573608 0.613454587245
data 270.0 350.0 7.08750009537 0.297647022495
data 350.0 475.0 1.45599997044 0.107925900506
data 475.0 1000.0 0.0628571435809 0.0109420240886
