proc xmin xmax y yerr rel
qcd 250.0 270.0 346.528892517 387.260369454 1.11754135894
qcd 270.0 350.0 125.671749115 140.441477469 1.11752624164
qcd 350.0 475.0 11.4409355447 12.7837497312 1.11736926419
qcd 475.0 1000.0 11.371351406 12.7173691018 1.11836919358
zll 250.0 270.0 83.9630317688 6.52133375041 0.0776691076183
zll 270.0 350.0 142.559022903 11.076448946 0.0776972843975
zll 350.0 475.0 37.9142947495 2.94682576188 0.0777233436979
zll 475.0 1000.0 6.03345057461 0.469230027223 0.0777714214147
dibosons 250.0 270.0 64.4419908524 13.3795472018 0.207621568248
dibosons 270.0 350.0 158.401813507 32.9043710141 0.207727236738
dibosons 350.0 475.0 65.9052208066 13.6923377989 0.207758014181
dibosons 475.0 1000.0 28.5337968729 5.92868103474 0.207777501927
stop 250.0 270.0 47.6036548615 10.307234466 0.216521914041
stop 270.0 350.0 92.1415233612 19.947016917 0.216482386978
stop 350.0 475.0 26.9286315888 5.83252596625 0.216591992319
stop 475.0 1000.0 3.30956212711 0.717187303149 0.216701568245
wjets 250.0 270.0 2737.46490479 210.764577269 0.0769926134579
wjets 270.0 350.0 5293.71704102 407.577005761 0.0769925937867
wjets 350.0 475.0 1877.92956829 144.586690631 0.0769926056187
wjets 475.0 1000.0 466.479916871 35.9155051054 0.0769926074124
ttbar 250.0 270.0 152.483644485 11.9025347663 0.0780577799438
ttbar 270.0 350.0 262.744655609 20.4950183305 0.0780035593226
ttbar 350.0 475.0 67.0415461063 5.22644999872 0.0779583751012
ttbar 475.0 1000.0 8.18769489415 0.63856792502 0.0779911725187
