type x y yerrup yerrdown
pre 235.0 1.20770548869 0.236850527941 0.236850527941
post 235.0 1.06463371798 0.208791845799 0.208791845799
pre 310.0 1.14320612985 0.381068720045 0.381068720045
post 310.0 0.999406160758 0.333135395744 0.333135395744
pre 412.5 1.32070652404 0.590637926417 0.590637926417
post 412.5 1.16570357194 0.521318497346 0.521318497346
pre 737.5 2.45971804265 1.73928332639 1.73928332639
post 737.5 1.84190434892 1.30242306937 1.30242306937
unc 200.0 270.0 0.103749186133 0.103749186133
unc 270.0 350.0 0.129605452386 0.129605452386
unc 350.0 475.0 0.186151460578 0.186151460578
unc 475.0 1000.0 0.207110246985 0.207110246985
