type x y yerrup yerrdown
pre 235.0 0.966139796303 0.168183350458 0.168183350458
post 235.0 0.88950092636 0.154842235672 0.154842235672
pre 310.0 1.14979577116 0.287448938507 0.287448938507
post 310.0 1.00976111395 0.252440274727 0.252440274727
pre 412.5 0.86397274774 0.431986353352 0.431986353352
post 412.5 0.781336397335 0.390668180112 0.390668180112
pre 737.5 0.77010288792 0.770102896168 0.770102896168
post 737.5 0.589274356605 0.589274362916 0.589274362916
unc 200.0 270.0 0.0906492747784 0.0906492747784
unc 270.0 350.0 0.121970141523 0.121970141523
unc 350.0 475.0 0.186544694787 0.186544694787
unc 475.0 1000.0 0.181621851688 0.181621851688
