type x y yerrup yerrdown
pre 235.0 1.09266839044 0.0439180495573 0.0439180495573
post 235.0 1.00017053495 0.0402002469402 0.0402002469402
pre 310.0 1.08450240393 0.0741350594369 0.0741350594369
post 310.0 0.996895608609 0.0681463820905 0.0681463820905
pre 412.5 1.08666511511 0.141471747079 0.141471747079
post 412.5 1.00551431013 0.130906812218 0.130906812218
pre 737.5 1.49224257247 0.325634033162 0.325634033162
post 737.5 1.21517959049 0.265173932421 0.265173932421
unc 200.0 270.0 0.0300374755266 0.0300374755266
unc 270.0 350.0 0.0413987804868 0.0413987804868
unc 350.0 475.0 0.0617465043527 0.0617465043527
unc 475.0 1000.0 0.0998417158992 0.0998417158992
