type x y yerrup yerrdown
pre 235.0 1.02935086257 0.077590237921 0.077590237921
post 235.0 1.04921052613 0.0790872163343 0.0790872163343
pre 310.0 0.771683015447 0.10913245863 0.10913245863
post 310.0 0.901462774177 0.127486088122 0.127486088122
pre 412.5 0.801983332064 0.207071210563 0.207071210563
post 412.5 0.914538769131 0.236132900098 0.236132900098
pre 737.5 1.27673810378 0.570974616102 0.570974616102
post 737.5 1.31237799662 0.586913260113 0.586913260113
unc 200.0 270.0 0.048609186272 0.048609186272
unc 270.0 350.0 0.0793344187449 0.0793344187449
unc 350.0 475.0 0.167090313569 0.167090313569
unc 475.0 1000.0 0.485571704682 0.485571704682
