type x y yerrup yerrdown
pre 235.0 0.974899855479 0.0298454272894 0.0298454272894
post 235.0 0.995835921059 0.0304863606319 0.0304863606319
pre 310.0 0.977037675521 0.0496656152469 0.0496656152469
post 310.0 1.02020268148 0.0518598157691 0.0518598157691
pre 412.5 0.965430129419 0.0881313118995 0.0881313118995
post 412.5 1.00383574918 0.091637249358 0.091637249358
pre 737.5 0.596716229572 0.149179058991 0.149179058991
post 737.5 0.814329322949 0.203582332918 0.203582332918
unc 200.0 270.0 0.024854238342 0.024854238342
unc 270.0 350.0 0.0503801208778 0.0503801208778
unc 350.0 475.0 0.100143046372 0.100143046372
unc 475.0 1000.0 0.194568814945 0.194568814945
